policeTerror,longitude,latitude
policeTerror,44.228944,17.565604
policeTerror,67.141038,24.908958
policeTerror,43.262615,33.402337
policeTerror,49,16.05
policeTerror,43.918597,33.404852
policeTerror,43.493056,34.929167
policeTerror,66.046353,35.670747
policeTerror,65.727457,31.628749
policeTerror,68.416667,33.55
policeTerror,66.981393,30.139046
policeTerror,80.812864,18.79771
policeTerror,80.006844,20.181843
policeTerror,43.321753,33.420768
policeTerror,0,0
policeTerror,65.685642,31.615843
policeTerror,62.031136,32.453788
policeTerror,65.931873,36.21759
policeTerror,63.143411,35.810307
policeTerror,63.143411,35.810307
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,66.688756,32.928519
policeTerror,62.121382,32.376614
policeTerror,68.327033,32.689821
policeTerror,68.785336,33.171683
policeTerror,43.490958,34.901257
policeTerror,61.859766,30.958257
policeTerror,65.872888,32.626588
policeTerror,67.017594,32.186077
policeTerror,65.502657,32.941019
policeTerror,65.536842,32.92057
policeTerror,65.536842,32.92057
policeTerror,125.166667,12.1
policeTerror,63.788611,30.548611
policeTerror,72.0875,34.248333
policeTerror,123.768533,13.107071
policeTerror,100.962253,6.830903
policeTerror,63.367503,34.338022
policeTerror,35.246521,31.779547
policeTerror,71.58049,34.014975
policeTerror,68.869175,32.91123
policeTerror,42.561111,16.889167
policeTerror,80.193086,19.19229
policeTerror,72.3599,34.773647
policeTerror,25.144449,11.278134
policeTerror,30.84285,29.308402
policeTerror,69.539434,36.733966
policeTerror,66.335833,32.378056
policeTerror,70.2825,34.524722
policeTerror,68.102002,33.193665
policeTerror,62.50668,34.87048
policeTerror,38.908668,33.434276
policeTerror,68.868066,36.728591
policeTerror,126.402383,7.092213
policeTerror,30.84285,29.308402
policeTerror,64.105629,35.71907
policeTerror,42.9675,16.529444
policeTerror,62.324085,32.533285
policeTerror,44.235292,33.63497
policeTerror,31.094774,29.07605
policeTerror,-8.566962,51.934359
policeTerror,66.906944,32.106111
policeTerror,65.456432,32.623739
policeTerror,-78.768396,1.807981
policeTerror,68.102002,33.193665
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,64.836477,32.075659
policeTerror,45.067169,33.695694
policeTerror,45.067169,33.695694
policeTerror,45.067169,33.695694
policeTerror,45.067169,33.695694
policeTerror,65.476082,31.98754
policeTerror,40.381523,-0.185491
policeTerror,64.47316,32.397381
policeTerror,64.47316,32.397381
policeTerror,65.054246,31.623036
policeTerror,68.361139,32.192937
policeTerror,122.705349,14.276771
policeTerror,122.705349,14.276771
policeTerror,68.361139,32.192937
